# Level 1
- Weapons Prep 1 - Level 1 - Troop Attack 0.5%, Power 4200
- Weapons Prep 1 - Level 2 - Troop Attack 1.0%, Power 8400
- Weapons Prep 1 - Level 3 - Troop Attack 1.5%, Power 12600
# Level 2
- Weapons Prep 2 - Level 1 - Troop Attack 0.75%, Power 6300
- Weapons Prep 2 - Level 2 - Troop Attack 1.5%, Power 12600
- Weapons Prep 2 - Level 3 - Troop Attack 2.5%, Power 21000
# Level 3
- Weapons Prep 3 - Level 1 - Troop Attack 1%, Power 8400
- Weapons Prep 3 - Level 2 - Troop Attack 2%, Power 16800
- Weapons Prep 3 - Level 3 - Troop Attack 3%, Power 25200
- Weapons Prep 3 - Level 4 - Troop Attack 4.5%, Power 33800
# Level 4
- Weapons Prep 4 - Level 1 - Troop Attack 1.75%, Power 14700
- Weapons Prep 4 - Level 2 - Troop Attack 3.5%, Power 29400
- Weapons Prep 4 - Level 3 - Troop Attack 5.25%, Power 44100
- Weapons Prep 4 - Level 4 - Troop Attack 7%, Power 58800
- Weapons Prep 4 - Level 5 - Troop Attack 10%, Power 84000
# Level 5
- Weapons Prep 5 - Level 1 - Troop Attack 2%, Power 16800
- Weapons Prep 5 - Level 2 - Troop Attack 4%, Power 33600
- Weapons Prep 5 - Level 3 - Troop Attack 6%, Power 50400
- Weapons Prep 5 - Level 4 - Troop Attack 8%, Power 67200
- Weapons Prep 5 - Level 5 - Troop Attack 10%, Power 84000
- Weapons Prep 5 - Level 6 - Troop Attack 13.5%, Power 113400
# Level 6
- Weapons Prep 6 - Level 1 - Troop Attack 2.25%, Power 18900
- Weapons Prep 6 - Level 2 - Troop Attack 4.5%, Power 37800
- Weapons Prep 6 - Level 3 - Troop Attack 6.75%, Power 56700
- Weapons Prep 6 - Level 4 - Troop Attack 9%, Power 75600
- Weapons Prep 6 - Level 5 - Troop Attack 11.25%, Power 94500
- Weapons Prep 6 - Level 6 - Troop Attack 15.25%, Power 128100

# Level 1
- Reprisal Tactics 1 - Level 1 - Infantry Attack 1.25%, Power 1750
- Reprisal Tactics 1 - Level 2 - Infantry Attack 2.5%, Power 3500
- Reprisal Tactics 1 - Level 3 - Infantry Attack 4%, Power 5600
# Level 2
- Reprisal Tactics 2 - Level 1 - Infantry Attack 1.75%, Power 2450
- Reprisal Tactics 2 - Level 2 - Infantry Attack 3.9%, Power 4900
- Reprisal Tactics 2 - Level 3 - Infantry Attack 5.5%, Power 7700
# Level 3
- Reprisal Tactics 3 - Level 1 - Infantry Attack 12.5%, Power 3500
- Reprisal Tactics 3 - Level 2 - Infantry Attack 5%, Power 7000
- Reprisal Tactics 3 - Level 3 - Infantry Attack 7.5%, Power 10500
- Reprisal Tactics 3 - Level 4 - Infantry Attack 11.5%, Power 16100
# Level 4
- Reprisal Tactics 4 - Level 1 - Infantry Attack 4%, Power 5600
- Reprisal Tactics 4 - Level 2 - Infantry Attack 8%, Power 11200
- Reprisal Tactics 4 - Level 3 - Infantry Attack 12%, Power 16800
- Reprisal Tactics 4 - Level 4 - Infantry Attack 16%, Power 22400
- Reprisal Tactics 4 - Level 5 - Infantry Attack 22.5%, Power 31500
# Level 5
- Reprisal Tactics 5 - Level 1 - Infantry Attack 4.75%, Power 6650
- Reprisal Tactics 5 - Level 2 - Infantry Attack 9.5%, Power 13300
- Reprisal Tactics 5 - Level 3 - Infantry Attack 14.25%, Power 19950
- Reprisal Tactics 5 - Level 4 - Infantry Attack 19%, Power 26600
- Reprisal Tactics 5 - Level 5 - Infantry Attack 23.75%, Power 33250
- Reprisal Tactics 5 - Level 6 - Infantry Attack 31.75%, Power 44450
# Level 6
- Reprisal Tactics 6 - Level 1 - Infantry Attack 5.5%, Power 7700
- Reprisal Tactics 6 - Level 2 - Infantry Attack 11%, Power 15400
- Reprisal Tactics 6 - Level 3 - Infantry Attack 16.5%, Power 23100
- Reprisal Tactics 6 - Level 4 - Infantry Attack 22%, Power 30800
- Reprisal Tactics 6 - Level 5 - Infantry Attack 27.5%, Power 38500
- Reprisal Tactics 6 - Level 6 - Infantry Attack 36.5%, Power 51100

# Level 1
- Precision Targeting 1 - Level 1 - Level 1 - Marksman Attack 1.25%, Power 4375
- Precision Targeting 1 - Level 2 - Marksman Attack 2.5%, Power 8750
- Precision Targeting 1 - Level 3 - Marksman Attack 4%, Power 14000
# Level 2
- Precision Targeting 2 - Level 1 - Marksman Attack 1.75%, Power 6300
- Precision Targeting 2 - Level 2 - Marksman Attack 3.5%, Power 12250
- Precision Targeting 2 - Level 3 - Marksman Attack 5.5%, Power 19250
# Level 3
- Precision Targeting 3 - Level 1 - Marksman Attack 2.5%, Power 8750
- Precision Targeting 3 - Level 2 - Marksman Attack 5%, Power 17500
- Precision Targeting 3 - Level 3 - Marksman Attack 7.5%, Power 26250
- Precision Targeting 3 - Level 4 - Marksman Attack 11.5%, Power 40250
# Level 4
- Precision Targeting 4 - Level 1 - Marksman Attack 4%, Power 14000
- Precision Targeting 4 - Level 2 - Marksman Attack 8%, Power 28000
- Precision Targeting 4 - Level 3 - Marksman Attack 12%, Power 42000
- Precision Targeting 4 - Level 4 - Marksman Attack 16%, Power 56000
- Precision Targeting 4 - Level 5 - Marksman Attack 22.5%, Power 78750
# Level 5
- Precision Targeting 5 - Level 1 - Marksman Attack 4.75%, Power 16625
- Precision Targeting 5 - Level 2 - Marksman Attack 9.5%, Power 33250
- Precision Targeting 5 - Level 3 - Marksman Attack 14.25%, Power 49875
- Precision Targeting 5 - Level 4 - Marksman Attack 19%, Power 66500
- Precision Targeting 5 - Level 5 - Marksman Attack 23.75%, Power 83125
- Precision Targeting 5 - Level 6 - Marksman Attack 31.75%, Power 111125
# Level 6
- Precision Targeting 6 - Level 1 - Marksman Attack 5.5%, Power 19250
- Precision Targeting 6 - Level 2 - Marksman Attack 11%, Power 38500
- Precision Targeting 6 - Level 3 - Marksman Attack 16.5%, Power 57750
- Precision Targeting 6 - Level 4 - Marksman Attack 22%, Power 77000
- Precision Targeting 6 - Level 5 - Marksman Attack 27.5%, Power 96250
- Precision Targeting 6 - Level 6 - Marksman Attack 36.5%, Power 127750

# Level 1
- Skirmishing 1 - Level 1 - Lancer Attack 1.25%, Power 4375
- Skirmishing 1 - Level 2 - Lancer Attack 2.5%, Power 8750
- Skirmishing 1 - Level 3 - Lancer Attack 4%, Power 14000
# Level 2
- Skirmishing 2 - Level 1 - Lancer Attack 1.75%, Power 6125
- Skirmishing 2 - Level 2 - Lancer Attack 3.5%, Power 12250
- Skirmishing 2 - Level 3 - Lancer Attack 5.5%, Power 19250
# Level 3
- Skirmishing 3 - Level 1 - Lancer Attack 2.5%, Power 8750
- Skirmishing 3 - Level 2 - Lancer Attack 5%, Power 17500
- Skirmishing 3 - Level 3 - Lancer Attack 7.5%, Power 26250
- Skirmishing 3 - Level 4 - Lancer Attack 11.5%, Power 40250
# Level 4
- Skirmishing 4 - Level 1 - Lancer Attack 4%, Power 14000
- Skirmishing 4 - Level 2 - Lancer Attack 8%, Power 28000
- Skirmishing 4 - Level 3 - Lancer Attack 12%, Power 42000
- Skirmishing 4 - Level 4 - Lancer Attack 16%, Power 56000
- Skirmishing 4 - Level 5 - Lancer Attack 22.5%, Power 78750
# Level 5
- Skirmishing 5 - Level 1 - Lancer Attack 4.75%, Power 16625
- Skirmishing 5 - Level 2 - Lancer Attack 9.5%, Power 33250
- Skirmishing 5 - Level 3 - Lancer Attack 14.25%, Power 49875
- Skirmishing 5 - Level 4 - Lancer Attack 19%, Power 66500
- Skirmishing 5 - Level 5 - Lancer Attack 23.75%, Power 83125
- Skirmishing 5 - Level 6 - Lancer Attack 31.75%, Power 111125
# Level 6
- Skirmishing 6 - Level 1 - Lancer Attack 5.5%, Power 19250
- Skirmishing 6 - Level 2 - Lancer Attack 11%, Power 38500
- Skirmishing 6 - Level 3 - Lancer Attack 16.5%, Power 57750
- Skirmishing 6 - Level 4 - Lancer Attack 22%, Power 77000
- Skirmishing 6 - Level 5 - Lancer Attack 27.5%, Power 96250
- Skirmishing 6 - Level 6 - Lancer Attack 36.5%, Power 127750

# Level 1
- Defensive Formations 1 - Level 1 - Infantry Defense 1.25%, Power 5625
- Defensive Formations 1 - Level 2 - Infantry Defense 2.5%, Power 11250
- Defensive Formations 1 - Level 3 - Infantry Defense 4%, Power 18000
# Level 2
- Defensive Formations 2 - Level 1 - Infantry Defense 1.75%, Power 7875
- Defensive Formations 2 - Level 2 - Infantry Defense 3.5%, Power 15750
- Defensive Formations 2 - Level 3 - Infantry Defense 5.5%, Power 24750
# Level 3
- Defensive Formations 3 - Level 1 - Infantry Defense 1.25%, Power 5625
- Defensive Formations 3 - Level 2 - Infantry Defense 2.5%, Power 11250
- Defensive Formations 3 - Level 3 - Infantry Defense 4%, Power 18000
# Level 4
- Defensive Formations 4 - Level 1 - Infantry Defense 4%, Power 18000
- Defensive Formations 4 - Level 2 - Infantry Defense 8%, Power 36000
- Defensive Formations 4 - Level 3 - Infantry Defense 12%, Power 54000
- Defensive Formations 4 - Level 4 - Infantry Defense 16%, Power 72000
- Defensive Formations 4 - Level 5 - Infantry Defense 22.5%, Power 101250
# Level 5
- Defensive Formations 5 - Level 1 - Infantry Defense 4.75%, Power 21375
- Defensive Formations 5 - Level 2 - Infantry Defense 9.5%, Power 42750
- Defensive Formations 5 - Level 3 - Infantry Defense 14.25%, Power 64125
- Defensive Formations 5 - Level 4 - Infantry Defense 19%, Power 85500
- Defensive Formations 5 - Level 5 - Infantry Defense 23.75%, Power 106875
- Defensive Formations 5 - Level 6 - Infantry Defense 31.75%, Power 142875
# Level 6
- Defensive Formations 6 - Level 1 - Infantry Defense 5.5%, Power 24750
- Defensive Formations 6 - Level 2 - Infantry Defense 11%, Power 49500
- Defensive Formations 6 - Level 3 - Infantry Defense 16.5%, Power 74250
- Defensive Formations 6 - Level 4 - Infantry Defense 22%, Power 99000
- Defensive Formations 6 - Level 5 - Infantry Defense 27.5%, Power 123750
- Defensive Formations 6 - Level 6 - Infantry Defense 36.5%, Power 164250

# Level 1
- Picket Lines 1 - Level 1 - Marksman Defense 1.25%, Power 3000
- Picket Lines 1 - Level 2 - Marksman Defense 2.5%, Power 6000
- Picket Lines 1 - Level 3 - Marksman Defense 4%, Power 9600
# Level 2
- Picket Lines 2 - Level 1 - Marksman Defense 1.75%, Power 4200
- Picket Lines 2 - Level 2 - Marksman Defense 3.5%, Power 8400
- Picket Lines 2 - Level 3 - Marksman Defense 5.5%, Power 13200
# Level 3
- Picket Lines 3 - Level 1 - Marksman Defense 2.5%, Power 6000
- Picket Lines 3 - Level 2 - Marksman Defense 5%, Power 12000
- Picket Lines 3 - Level 3 - Marksman Defense 7.5%, Power 18000
- Picket Lines 3 - Level 4 - Marksman Defense 11.5%, Power 27600
# Level 4
- Picket Lines 4 - Level 1 - Marksman Defense 4%, Power 9600
- Picket Lines 4 - Level 2 - Marksman Defense 8%, Power 19200
- Picket Lines 4 - Level 3 - Marksman Defense 12%, Power 28800
- Picket Lines 4 - Level 4 - Marksman Defense 16%, Power 38400
- Picket Lines 4 - Level 5 - Marksman Defense 22.5%, Power 54000
# Level 5
- Picket Lines 5 - Level 1 - Marksman Defense 4.75%, Power 11400
- Picket Lines 5 - Level 2 - Marksman Defense 9.5%, Power 22800
- Picket Lines 5 - Level 3 - Marksman Defense 14.25%, Power 34200
- Picket Lines 5 - Level 4 - Marksman Defense 19%, Power 45600
- Picket Lines 5 - Level 5 - Marksman Defense 23.75%, Power 57000
- Picket Lines 5 - Level 6 - Marksman Defense 31.75%, Power 76200
# Level 6
- Picket Lines 6 - Level 1 - Marksman Defense 5.5%, Power 13200
- Picket Lines 6 - Level 2 - Marksman Defense 11%, Power 26400
- Picket Lines 6 - Level 3 - Marksman Defense 16.5%, Power 39600
- Picket Lines 6 - Level 4 - Marksman Defense 22%, Power 52800
- Picket Lines 6 - Level 5 - Marksman Defense 27.5%, Power 66000
- Picket Lines 6 - Level 6 - Marksman Defense 36.5%, Power 87600

# Level 1
- Bulwark Formations 1 - Level 1 - Lancer Defense 1.25%, Power 3000 
- Bulwark Formations 1 - Level 2 - Lancer Defense 2.5%, Power 6000
- Bulwark Formations 1 - Level 3 - Lancer Defense 4%, Power 9600
# Level 2
- Bulwark Formations 2 - Level 1 - Lancer Defense 1.75%, Power 4200
- Bulwark Formations 2 - Level 2 - Lancer Defense 3.5%, Power 8400
- Bulwark Formations 2 - Level 3 - Lancer Defense 5.5%, Power 13200
# Level 3
- Bulwark Formations 3 - Level 1 - Lancer Defense 2.5%, Power 6000
